sector_code,municipality_name,municipality_code,sector_situation,MR_name,sector_type,avg_income,total_households,piped_water,well_spring_water,stored_rainwater,other_water_source,private_bathroom,bathroom_sewerage,bathroom_septic_tank,bathroom_cesspit,bathroom_ditch,bathroom_waterbodies,bathroom_other
150140245000169,BELÉM,1501402,urban,Metropolitan Region of Belém,0,1080,377,206,160,0,11,377,27,108,230,8,0,4
150140245000170,BELÉM,1501402,urban,Metropolitan Region of Belém,1,507,216,195,18,0,3,216,10,6,155,44,0,1
150140245000171,BELÉM,1501402,urban,Metropolitan Region of Belém,0,550,675,85,301,0,289,662,11,168,360,115,5,3
150140245000172,BELÉM,1501402,urban,Metropolitan Region of Belém,0,558,414,19,297,0,98,408,7,4,350,23,21,3
150140245000173,BELÉM,1501402,urban,Metropolitan Region of Belém,1,556,269,233,34,0,2,266,25,218,8,11,3,1
150140245000174,BELÉM,1501402,urban,Metropolitan Region of Belém,1,797,348,309,38,0,1,348,57,5,286,0,0,0
150140245000175,BELÉM,1501402,urban,Metropolitan Region of Belém,1,879,422,1,321,0,100,422,1,322,0,46,17,36
150140245000176,BELÉM,1501402,urban,Metropolitan Region of Belém,1,1942,223,211,11,0,1,223,93,128,1,0,0,1
150140245000177,BELÉM,1501402,urban,Metropolitan Region of Belém,1,1669,348,329,18,0,1,348,160,187,1,0,0,0
150140245000178,BELÉM,1501402,urban,Metropolitan Region of Belém,1,1967,320,182,71,0,67,320,124,164,29,3,0,0
150140245000179,BELÉM,1501402,urban,Metropolitan Region of Belém,0,646,307,237,64,0,6,305,19,4,264,9,9,0
150140245000180,BELÉM,1501402,urban,Metropolitan Region of Belém,0,845,214,130,68,0,16,211,13,88,102,7,0,1
150140245000181,BELÉM,1501402,urban,Metropolitan Region of Belém,0,802,452,348,101,0,3,443,34,390,0,19,0,0
150140245000182,BELÉM,1501402,urban,Metropolitan Region of Belém,0,608,602,56,477,0,69,600,20,9,541,19,0,11
150140245000183,BELÉM,1501402,urban,Metropolitan Region of Belém,0,610,377,52,321,0,4,377,6,265,79,24,3,0
150140245000184,BELÉM,1501402,urban,Metropolitan Region of Belém,0,753,431,68,309,0,54,403,11,377,12,3,0,0
150140245000185,BELÉM,1501402,urban,Metropolitan Region of Belém,0,1215,255,97,144,0,14,254,35,113,92,14,0,0
150140245000186,BELÉM,1501402,urban,Metropolitan Region of Belém,1,1386,411,66,153,0,192,403,55,95,234,15,3,1
