"";"sector_code";"municipality_name";"municipality_code";"sector_situation";"MR_name";"sector_type";"V005_bas";"V002_h01";"V012_h01";"V013_h01";"V014_h01";"V015_h01";"V016_h01";"V017_h01";"V018_h01";"V019_h01";"V020_h01";"V021_h01";"V022_h01";"V002_h02"
"157";"150080005000157";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";458,35;279;12;211;0;56;263;12;1;249;1;0;0;1037
"158";"150080005000158";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";643,72;424;281;109;0;34;402;8;381;0;5;0;8;1592
"159";"150080005000159";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";481,77;429;273;75;0;81;424;14;13;382;12;0;3;1520
"160";"150080005000160";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";407,78;275;0;210;1;64;261;0;7;246;2;0;6;1015
"161";"150080005000161";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";471,22;225;1;158;0;66;200;0;3;193;0;0;4;749
"162";"150080005000162";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";741,47;158;6;129;0;23;153;2;56;70;23;0;2;628
"163";"150080005000163";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";810,54;274;166;91;0;17;273;14;254;0;5;0;0;1009
"164";"150080005000164";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";677,39;262;84;142;0;36;261;14;6;237;1;0;3;914
"165";"150080005000165";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";618,91;348;45;246;0;57;347;9;38;294;4;1;1;1240
"166";"150080005000166";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1025,85;261;235;24;0;2;261;47;65;148;1;0;0;915
"167";"150080005000167";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";909,72;197;185;11;0;1;197;6;18;171;2;0;0;696
"168";"150080005000168";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";719,7;178;172;6;0;0;178;10;112;56;0;0;0;612
"169";"150080005000169";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";772,45;247;235;10;0;2;245;11;14;214;5;0;1;826
"170";"150080005000170";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";491,05;334;216;100;0;18;326;9;41;267;5;0;4;1316
"171";"150080005000171";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";480,89;271;70;168;0;33;260;8;32;202;15;0;3;1044
"172";"150080005000172";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";434,97;375;1;305;0;69;352;0;0;347;2;0;3;1393
"173";"150080005000173";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";547,36;380;10;282;0;88;371;1;45;316;7;0;2;1407
"174";"150080005000174";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";730,97;427;7;372;0;48;427;0;412;5;7;0;3;1597
"175";"150080005000175";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";799,75;547;30;424;0;93;545;34;35;465;9;2;0;1994
"176";"150080005000176";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";795,23;176;4;148;0;24;174;0;3;170;0;1;0;710
"177";"150080005000177";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";788,55;260;0;260;0;0;260;106;2;152;0;0;0;947
"178";"150080005000178";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"slum";756,79;375;21;327;0;27;374;0;2;366;0;5;1;1312
"179";"150080005000179";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1125,53;209;186;18;0;5;209;19;39;151;0;0;0;723
"180";"150080005000180";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";2504,63;248;7;196;0;45;248;24;199;1;23;1;0;939
"181";"150080005000181";"ANANINDEUA";"1500800";"1";"Metropolitan Region of Belém";"not_slum";1423,22;254;55;197;0;2;254;8;246;0;0;0;0;1017
